Cidade,Ministerio,Total
Aluninio,Colaborador,1
Araçoiaba da Serra ,Ancião,1
Araçoiaba da Serra ,Colaborador,3
Arujá ,Ancião,1
Arujá ,Colaborador,1
Campinas ,Colaborador,1
Campinas ,Colaboradora,1
Campinas ,Secretário,3
Capela do Alto,Ancião,1
Capela do Alto,Colaborador,2
Carapicuíba ,Colaborador,1
Elias Fausto ,Ancião,1
Elias Fausto ,Colaborador,1
Espírito Santo do Pinhal ,Ancião,1
Espírito Santo do Pinhal ,Diácono,1
Ferraz de Vasconcelos ,Ancião,1
Ferraz de Vasconcelos ,Colaborador,1
Hortolândia ,Ancião,2
Hortolândia ,Colaborador,4
Ibiúna ,Cooperador do Ofício,2
Ibiúna ,Secretário,1
Iperó ,Ancião,1
Iperó ,Colaborador,2
Iperó ,Cooperador do Ofício,1
Iperó ,Secretário,1
Itaberá ,Ancião,1
Itú ,Ancião,1
Itú ,Colaborador,11
Itú ,Colaboradora,2
Itú ,Cooperador do Ofício,3
Itú ,Diácono,1
Itú ,Encarregado de Orquestra Local,3
Mairinque,Colaborador,1
Mauá ,Colaboradora,2
Mauá ,Encarregado de Orquestra Regional,1
Mogi Guaçu ,Colaborador,12
Mogi Guaçu ,Secretário,1
Monte Mor,Colaborador,1
Osasco ,Colaborador,2
Piedade ,Ancião,1
Piedade ,Colaborador,1
Piedade ,Cooperador de Jovens,1
Piedade ,Cooperador do Ofício,4
Piracicaba ,Ancião,1
Piracicaba ,Colaborador,1
Piracicaba ,Colaboradora,2
Piracicaba ,Secretário,1
Porto Feliz ,Ancião,1
Porto Feliz ,Colaborador,2
Porto Feliz ,Cooperador do Ofício,1
Porto Feliz ,Diácono,1
Porto Feliz ,Encarregado de Orquestra Local,2
Porto Feliz ,Encarregado de Orquestra Regional,1
Salto,Ancião,3
Salto,Colaborador,21
Salto,Colaboradora,14
Salto,Cooperador de Jovens,3
Salto,Cooperador do Ofício,1
Salto,Encarregado de Orquestra Local,1
Salto,Encarregado de Orquestra Regional,2
Salto,Secretário,2
Salto de Pirapora ,Colaborador,1
Sarapuí ,Colaboradora,1
Sarapuí ,Cooperador do Ofício,1
Sarapuí ,Secretário,1
Sorocaba ,Ancião,4
Sorocaba ,Colaborador,52
Sorocaba ,Colaboradora,20
Sorocaba ,Cooperador de Jovens,3
Sorocaba ,Cooperador do Ofício,5
Sorocaba ,Diácono,1
Sorocaba ,Encarregado de Orquestra Local,1
Sorocaba ,Secretário,1
Sumaré ,Colaborador,3
Sumaré ,Secretário,3
São Paulo ,Ancião,3
São Paulo ,Colaborador,3
São Paulo ,Cooperador do Ofício,1
São Paulo ,Diácono,2
São Paulo ,Secretário,5
Tatuí ,Secretário,2
Valinhos ,Ancião,1
Valinhos ,Colaborador,1
Valinhos ,Colaboradora,2
Vinhedo,Ancião,1
Vinhedo,Colaborador,2
Vinhedo,Secretário,1
Votorantim ,Ancião,2
Votorantim ,Colaborador,43
Votorantim ,Colaboradora,6
Votorantim ,Cooperador de Jovens,2
Votorantim ,Cooperador do Ofício,3
Votorantim ,Diácono,1
Votorantim ,Secretário,1
